,algo,masscart,masspole,length,force_mag,reward_sum,success
26,diffdac,1.2240576416750897,0.12811243976925593,0.610758362064176,10.185134149333594,200.0,1.0
27,ppo_random,0.7062244923314199,0.10011247552892433,0.4987319879402438,7.802977173755659,134.0,0.0
28,ppo_multitask,0.7062244923314199,0.10011247552892433,0.4987319879402438,7.802977173755659,200.0,1.0
29,diffdac,0.7062244923314199,0.10011247552892433,0.4987319879402438,7.802977173755659,200.0,1.0
30,ppo_random,1.1627923859600475,0.07124511696156409,0.5400944704778826,11.492823295231672,134.0,0.0
31,ppo_multitask,1.1627923859600475,0.07124511696156409,0.5400944704778826,11.492823295231672,200.0,1.0
32,diffdac,1.1627923859600475,0.07124511696156409,0.5400944704778826,11.492823295231672,200.0,1.0
33,ppo_random,0.8081618133260615,0.07116851448925747,0.48896555794950336,11.349603575152887,159.0,0.0
34,ppo_multitask,0.8081618133260615,0.07116851448925747,0.48896555794950336,11.349603575152887,200.0,1.0
35,diffdac,0.8081618133260615,0.07116851448925747,0.48896555794950336,11.349603575152887,200.0,1.0
36,ppo_random,0.7924977054278034,0.11440298179092429,0.4289945045555404,10.202436360281787,154.0,0.0
37,ppo_multitask,0.7924977054278034,0.11440298179092429,0.4289945045555404,10.202436360281787,200.0,1.0
38,diffdac,0.7924977054278034,0.11440298179092429,0.4289945045555404,10.202436360281787,200.0,1.0
39,ppo_random,1.166621446344292,0.08425247320209474,0.5972835597984105,12.794495188257999,137.0,0.0
40,ppo_multitask,1.166621446344292,0.08425247320209474,0.5972835597984105,12.794495188257999,200.0,1.0
41,diffdac,1.166621446344292,0.08425247320209474,0.5972835597984105,12.794495188257999,200.0,1.0
42,ppo_random,1.0083660062636142,0.1163899031247578,0.6111283057174438,7.048281691178907,200.0,1.0
43,ppo_multitask,1.0083660062636142,0.1163899031247578,0.6111283057174438,7.048281691178907,200.0,1.0
44,diffdac,1.0083660062636142,0.1163899031247578,0.6111283057174438,7.048281691178907,200.0,1.0
45,ppo_random,1.2092906183611474,0.0807337554952599,0.3663089642919294,9.169230676529338,130.0,0.0
46,ppo_multitask,1.2092906183611474,0.0807337554952599,0.3663089642919294,9.169230676529338,200.0,1.0
47,diffdac,1.2092906183611474,0.0807337554952599,0.3663089642919294,9.169230676529338,200.0,1.0
48,ppo_random,0.8339746474921232,0.10138980048404056,0.5152104369743543,7.273611700796838,144.0,0.0
49,ppo_multitask,0.8339746474921232,0.10138980048404056,0.5152104369743543,7.273611700796838,200.0,1.0
50,diffdac,0.8339746474921232,0.10138980048404056,0.5152104369743543,7.273611700796838,200.0,1.0
51,ppo_random,0.8767990016122658,0.10183520533631765,0.4074562360842484,7.407402149147748,145.0,0.0
52,ppo_multitask,0.8767990016122658,0.10183520533631765,0.4074562360842484,7.407402149147748,200.0,1.0
53,diffdac,0.8767990016122658,0.10183520533631765,0.4074562360842484,7.407402149147748,200.0,1.0
54,ppo_random,1.090224545043755,0.10032720242409057,0.6135804412764656,8.091041352229206,145.0,0.0
55,ppo_multitask,1.090224545043755,0.10032720242409057,0.6135804412764656,8.091041352229206,200.0,1.0
56,diffdac,1.090224545043755,0.10032720242409057,0.6135804412764656,8.091041352229206,200.0,1.0
57,ppo_random,0.7585201610496709,0.11567498300049138,0.42408139194989813,7.8287901248579175,140.0,0.0
58,ppo_multitask,0.7585201610496709,0.11567498300049138,0.42408139194989813,7.8287901248579175,200.0,1.0
59,diffdac,0.7585201610496709,0.11567498300049138,0.42408139194989813,7.8287901248579175,200.0,1.0
60,ppo_random,1.0528784806463645,0.12386282367456508,0.6174592188424124,11.895024863846103,143.0,0.0
61,ppo_multitask,1.0528784806463645,0.12386282367456508,0.6174592188424124,11.895024863846103,200.0,1.0
