,algo,max_torque,m,l,reward_sum,success
112,ppo_multitask,2.5333959234287686,0.9784589045826446,0.8156770173742945,-104.83456,1.0
113,diffdac,2.5333959234287686,0.9784589045826446,0.8156770173742945,-226.35078,1.0
114,ppo_random,1.8617277434200925,1.2158247079543716,1.266519781484452,-130.40555,1.0
115,ppo_multitask,1.8617277434200925,1.2158247079543716,1.266519781484452,-129.16966,1.0
116,diffdac,1.8617277434200925,1.2158247079543716,1.266519781484452,-609.1511,0.0
117,ppo_random,2.0562669873744257,1.1787394127695632,1.1922411279390288,-0.39829686,1.0
118,ppo_multitask,2.0562669873744257,1.1787394127695632,1.1922411279390288,-0.78895205,1.0
119,diffdac,2.0562669873744257,1.1787394127695632,1.1922411279390288,-0.8874075,1.0
120,ppo_random,1.8892244336963433,0.733219624067116,1.1731209264920517,-1.0770401,1.0
121,ppo_multitask,1.8892244336963433,0.733219624067116,1.1731209264920517,-1.1497246,1.0
122,diffdac,1.8892244336963433,0.733219624067116,1.1731209264920517,-1.1521202,1.0
123,ppo_random,1.701108348493928,0.727657492403567,1.1060897446663351,-125.77301,1.0
124,ppo_multitask,1.701108348493928,0.727657492403567,1.1060897446663351,-125.237526,1.0
125,diffdac,1.701108348493928,0.727657492403567,1.1060897446663351,-126.219986,1.0
126,ppo_random,1.849448142616835,1.2704285838459497,1.139196365086843,-257.16574,1.0
127,ppo_multitask,1.849448142616835,1.2704285838459497,1.139196365086843,-128.15004,1.0
128,diffdac,1.849448142616835,1.2704285838459497,1.139196365086843,-128.94601,1.0
129,ppo_random,1.5380654796677347,1.0654399235676888,0.780034578511593,-123.737885,1.0
130,ppo_multitask,1.5380654796677347,1.0654399235676888,0.780034578511593,-124.35343,1.0
131,diffdac,1.5380654796677347,1.0654399235676888,0.780034578511593,-244.66234,1.0
132,ppo_random,2.4018105783987793,0.7628776626219218,1.1467842890077107,-127.75748,1.0
133,ppo_multitask,2.4018105783987793,0.7628776626219218,1.1467842890077107,-127.90701,1.0
134,diffdac,2.4018105783987793,0.7628776626219218,1.1467842890077107,-127.18719,1.0
135,ppo_random,2.58681381617072,1.0297268361068352,0.8688683811730377,-193.42271,1.0
136,ppo_multitask,2.58681381617072,1.0297268361068352,0.8688683811730377,-256.8369,1.0
137,diffdac,2.58681381617072,1.0297268361068352,0.8688683811730377,-395.51898,1.0
138,ppo_random,2.3405988209669006,1.080900223631638,0.8494258549094493,-2.1838033,1.0
139,ppo_multitask,2.3405988209669006,1.080900223631638,0.8494258549094493,-2.1116688,1.0
140,diffdac,2.3405988209669006,1.080900223631638,0.8494258549094493,-2.096844,1.0
141,ppo_random,1.5361861662723792,1.284689856661874,1.1372407801006639,-384.69138,1.0
142,ppo_multitask,1.5361861662723792,1.284689856661874,1.1372407801006639,-257.1929,1.0
143,diffdac,1.5361861662723792,1.284689856661874,1.1372407801006639,-380.48462,1.0
144,ppo_random,1.4209883251173832,1.2349439603081551,0.870916700484351,-876.47424,0.0
145,ppo_multitask,1.4209883251173832,1.2349439603081551,0.870916700484351,-740.4148,0.0
146,diffdac,1.4209883251173832,1.2349439603081551,0.870916700484351,-235.05388,1.0
147,ppo_random,1.7611573470270976,0.8482370991770887,1.2558010810355054,-383.52298,1.0
148,ppo_multitask,1.7611573470270976,0.8482370991770887,1.2558010810355054,-372.1787,1.0
149,diffdac,1.7611573470270976,0.8482370991770887,1.2558010810355054,-466.91055,1.0
150,ppo_random,1.9935219746456259,0.8368498626696017,0.8532843542543268,-131.16632,1.0
151,ppo_multitask,1.9935219746456259,0.8368498626696017,0.8532843542543268,-127.36955,1.0
152,diffdac,1.9935219746456259,0.8368498626696017,0.8532843542543268,-251.74004,1.0
153,ppo_random,2.210877698604263,0.7268273093217675,0.9059822035255554,-110.43589,1.0
154,ppo_multitask,2.210877698604263,0.7268273093217675,0.9059822035255554,-110.13402,1.0
155,diffdac,2.210877698604263,0.7268273093217675,0.9059822035255554,-256.66467,1.0
156,ppo_random,2.3877324088517504,0.7156707889419204,0.8264623839587764,-105.01407,1.0
